1. Time Survived: 27 Sec, Enemy Ships Destroyed: 30, Score: 3945
2. Time Survived: 27 Sec, Enemy Ships Destroyed: 30, Score: 3945
3. Time Survived: 27 Sec, Enemy Ships Destroyed: 30, Score: 3945
4. Time Survived: 27 Sec, Enemy Ships Destroyed: 30, Score: 3945
5. Time Survived: 27 Sec, Enemy Ships Destroyed: 30, Score: 3945
6. Time Survived: 27 Sec, Enemy Ships Destroyed: 30, Score: 3945
7. Time Survived: 27 Sec, Enemy Ships Destroyed: 30, Score: 3945
8. Time Survived: 27 Sec, Enemy Ships Destroyed: 30, Score: 3945
9. Time Survived: 27 Sec, Enemy Ships Destroyed: 30, Score: 3945
10. Time Survived: 27 Sec, Enemy Ships Destroyed: 30, Score: 3945
11. Time Survived: 27 Sec, Enemy Ships Destroyed: 30, Score: 3945
12. Time Survived: 27 Sec, Enemy Ships Destroyed: 30, Score: 3945
13. Time Survived: 27 Sec, Enemy Ships Destroyed: 30, Score: 3945
14. Time Survived: 27 Sec, Enemy Ships Destroyed: 30, Score: 3945
15. Time Survived: 27 Sec, Enemy Ships Destroyed: 30, Score: 3945
16. Time Survived: 27 Sec, Enemy Ships Destroyed: 30, Score: 3945
17. Time Survived: 27 Sec, Enemy Ships Destroyed: 30, Score: 3945
18. Time Survived: 27 Sec, Enemy Ships Destroyed: 30, Score: 3945
19. Time Survived: 27 Sec, Enemy Ships Destroyed: 30, Score: 3945
20. Time Survived: 27 Sec, Enemy Ships Destroyed: 30, Score: 3945
21. Time Survived: 27 Sec, Enemy Ships Destroyed: 30, Score: 3945
22. Time Survived: 27 Sec, Enemy Ships Destroyed: 30, Score: 3945
23. Time Survived: 27 Sec, Enemy Ships Destroyed: 30, Score: 3945
24. Time Survived: 27 Sec, Enemy Ships Destroyed: 30, Score: 3945
25. Time Survived: 27 Sec, Enemy Ships Destroyed: 30, Score: 3945
26. Time Survived: 27 Sec, Enemy Ships Destroyed: 30, Score: 3945
27. Time Survived: 27 Sec, Enemy Ships Destroyed: 30, Score: 3945
28. Time Survived: 27 Sec, Enemy Ships Destroyed: 30, Score: 3945
29. Time Survived: 27 Sec, Enemy Ships Destroyed: 30, Score: 3945
30. Time Survived: 27 Sec, Enemy Ships Destroyed: 30, Score: 9000
31. Time Survived: 36 Sec, Enemy Ships Destroyed: 38, Score: 5060
